Folder,Sub-folder,File,Current Squiz link,New squiz link
TargetConnect assests,,,,
,,DT_Banner,https://www.deakin.edu.au/__data/assets/image/0011/2672903/DT_Banner.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/banners-and-logos/DT_Banner.jpg
,Terms & Conditions,,,
,,"	Targetconnect-Organisations-Terms-and-Conditions-as-at-11th-Oct-2023",https://www.deakin.edu.au/__data/assets/pdf_file/0006/2678730/Targetconnect-Organisations-Terms-and-Conditions-as-at-11th-Oct-2023.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/terms-and-conditions/Targetconnect-Organisations-Terms-and-Conditions-as-at-11th-Oct-2023.pdf
,,Targetconnect-Website-Terms-and-Conditions-as-at-11th-Oct-2023,https://www.deakin.edu.au/__data/assets/pdf_file/0007/2678731/Targetconnect-Website-Terms-and-Conditions-as-at-11th-Oct-2023.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/terms-and-conditions/Targetconnect-Website-Terms-and-Conditions-as-at-11th-Oct-2023.pdf
,,Targetconnect-Organisations-Terms-and-Conditions-as-at-4th-Dec-2024,https://www.deakin.edu.au/__data/assets/pdf_file/0010/2881909/Targetconnect-Organisations-Terms-and-Conditions-as-at-4th-Dec-2024.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/terms-and-conditions/Targetconnect-Organisations-Terms-and-Conditions-as-at-4th-Dec-2024.pdf
,,Targetconnect-Website-Privacy-Notice-as-at-4th-Dec-2024,https://www.deakin.edu.au/__data/assets/pdf_file/0011/2881910/Targetconnect-Website-Privacy-Notice-as-at-4th-Dec-2024.pdf,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/terms-and-conditions/Targetconnect-Website-Privacy-Notice-as-at-4th-Dec-2024.pdf
,Pathway assets,,,
,,Medical-7.png,https://www.deakin.edu.au/__data/assets/image/0008/2715227/Medical-7.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-7.png
,,Medical-8.png,https://www.deakin.edu.au/__data/assets/image/0009/2715228/Medical-8.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-8.png
,,Medical-9.png,https://www.deakin.edu.au/__data/assets/image/0010/2715229/Medical-9.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-9.png
,,Medical-10.png,https://www.deakin.edu.au/__data/assets/image/0020/2715230/Medical-10.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-10.png
,,Medical-11.png,https://www.deakin.edu.au/__data/assets/image/0003/2715231/Medical-11.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-11.png
,,LinkedIn.png,https://www.deakin.edu.au/__data/assets/image/0004/2715232/LinkedIn.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/LinkedIn.png
,,Medical-1.png,https://www.deakin.edu.au/__data/assets/image/0005/2715233/Medical-1.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-1.png
,,Medical-2.png,https://www.deakin.edu.au/__data/assets/image/0006/2715234/Medical-2.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-2.png
,,Medical-3.png,https://www.deakin.edu.au/__data/assets/image/0007/2715235/Medical-3.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-3.png
,,Medical-4.png,https://www.deakin.edu.au/__data/assets/image/0008/2715236/Medical-4.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-4.png
,,Medical-5.png,https://www.deakin.edu.au/__data/assets/image/0009/2715237/Medical-5.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-5.png
,,Medical-6.png,https://www.deakin.edu.au/__data/assets/image/0010/2715238/Medical-6.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Medical-6.png
,,Interview-1.jpg,https://www.deakin.edu.au/__data/assets/image/0003/2715663/Interview-1.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Interview-1.jpg
,,Interview-2.jpg,https://www.deakin.edu.au/__data/assets/image/0004/2715664/Interview-2.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Interview-2.jpg
,,Interview-3.jpg,https://www.deakin.edu.au/__data/assets/image/0005/2715665/Interview-3.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Interview-3.jpg
,,Types-of-Resumes.PNG,https://www.deakin.edu.au/__data/assets/image/0009/2716983/Types-of-Resumes.PNG,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Types-of-Resumes.PNG
,,career-3449422_1920.png,https://www.deakin.edu.au/__data/assets/file/0007/2723767/career-3449422_1920.png,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/career-3449422_1920.png
,,30971_2021_05_10-DEAKIN39201.jpg,https://www.deakin.edu.au/__data/assets/file/0008/2723768/30971_2021_05_10-DEAKIN39201.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/30971_2021_05_10-DEAKIN39201.jpg
,,pexels-tara-winstead-8386440.jpg,https://www.deakin.edu.au/__data/assets/file/0009/2723769/pexels-tara-winstead-8386440.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-tara-winstead-8386440.jpg
,,pexels-lukas-669621.jpg,https://www.deakin.edu.au/__data/assets/image/0005/2723909/pexels-lukas-669621.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-lukas-669621.jpg
,,pexels-pavel-danilyuk-8112194.jpg,https://www.deakin.edu.au/__data/assets/image/0006/2723910/pexels-pavel-danilyuk-8112194.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-pavel-danilyuk-8112194.jpg
,,pexels-sora-shimazaki-5668869.jpg,https://www.deakin.edu.au/__data/assets/image/0007/2723911/pexels-sora-shimazaki-5668869.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-sora-shimazaki-5668869.jpg
,,pexels-tima-miroshnichenko-5439455.jpg,https://www.deakin.edu.au/__data/assets/image/0008/2723912/pexels-tima-miroshnichenko-5439455.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-tima-miroshnichenko-5439455.jpg
,,Comptencies.PNG,https://www.deakin.edu.au/__data/assets/image/0005/2725736/Comptencies.PNG,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/Comptencies.PNG
,,pexels-ann-h-11022636.jpg,https://www.deakin.edu.au/__data/assets/image/0004/2726329/pexels-ann-h-11022636.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-ann-h-11022636.jpg
,,pexels-leeloo-the-first-5428836.jpg,https://www.deakin.edu.au/__data/assets/image/0005/2726330/pexels-leeloo-the-first-5428836.jpg,https://www.deakin.edu.au/students/careers-and-graduation/careers-and-employability/deakinTALENT/mydeakinTALENT/pathway-assets/pexels-leeloo-the-first-5428836.jpg
